Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18,10/12/2017,Man United,Man City,1,2,A,1,1,D,M Oliver
18,10/12/2017,Southampton,Arsenal,1,1,D,1,0,H,R Madley
18,12/12/2017,Burnley,Stoke,1,0,H,0,0,D,M Jones
18,12/12/2017,Crystal Palace,Watford,2,1,H,0,1,A,L Mason
18,12/12/2017,Huddersfield,Chelsea,1,3,A,0,2,A,A Marriner
18,13/12/17,Liverpool,West Brom,0,0,D,0,0,D,P Tierney
18,13/12/17,Man United,Bournemouth,1,0,H,1,0,H,G Scott
18,13/12/17,Newcastle,Everton,0,1,A,0,1,A,M Atkinson
18,13/12/17,Southampton,Leicester,1,4,A,0,3,A,C Kavanagh
18,13/12/17,Swansea,Man City,0,4,A,0,2,A,A Taylor
18,13/12/17,Tottenham,Brighton,2,0,H,1,0,H,R Madley
18,13/12/17,West Ham,Arsenal,0,0,D,0,0,D,J Moss
18,16/12/17,Arsenal,Newcastle,1,0,H,1,0,H,S Attwell
18,16/12/17,Brighton,Burnley,0,0,D,0,0,D,C Kavanagh
18,16/12/17,Chelsea,Southampton,1,0,H,1,0,H,R East
18,16/12/17,Leicester,Crystal Palace,0,3,A,0,2,A,M Atkinson
18,16/12/17,Man City,Tottenham,4,1,H,1,0,H,C Pawson
18,16/12/17,Stoke,West Ham,0,3,A,0,1,A,G Scott
18,16/12/17,Watford,Huddersfield,1,4,A,0,2,A,M Oliver
18,17/12/17,Bournemouth,Liverpool,0,4,A,0,3,A,A Marriner
18,17/12/17,West Brom,Man United,1,2,A,0,2,A,A Taylor
18,18/12/17,Everton,Swansea,3,1,H,1,1,D,J Moss
18,22/12/17,Arsenal,Liverpool,3,3,D,0,1,A,M Atkinson
18,23/12/17,Brighton,Watford,1,0,H,0,0,D,P Tierney
18,23/12/17,Burnley,Tottenham,0,3,A,0,1,A,M Oliver
18,23/12/17,Everton,Chelsea,0,0,D,0,0,D,R Madley
18,23/12/17,Leicester,Man United,2,2,D,1,1,D,J Moss
18,23/12/17,Man City,Bournemouth,4,0,H,1,0,H,M Jones
18,23/12/17,Southampton,Huddersfield,1,1,D,1,0,H,L Probert
18,23/12/17,Stoke,West Brom,3,1,H,2,0,H,N Swarbrick
18,23/12/17,Swansea,Crystal Palace,1,1,D,0,0,D,C Pawson
18,23/12/17,West Ham,Newcastle,2,3,A,1,1,D,L Mason
18,26/12/17,Bournemouth,West Ham,3,3,D,1,1,D,S Attwell
18,26/12/17,Chelsea,Brighton,2,0,H,0,0,D,M Dean
18,26/12/17,Huddersfield,Stoke,1,1,D,1,0,H,A Taylor
18,26/12/17,Liverpool,Swansea,5,0,H,1,0,H,K Friend
18,26/12/17,Man United,Burnley,2,2,D,0,2,A,M Atkinson
18,26/12/17,Tottenham,Southampton,5,2,H,2,0,H,G Scott
18,26/12/17,Watford,Leicester,2,1,H,1,1,D,C Kavanagh
18,26/12/17,West Brom,Everton,0,0,D,0,0,D,R East
18,27/12/17,Newcastle,Man City,0,1,A,0,1,A,A Marriner
18,28/12/17,Crystal Palace,Arsenal,2,3,A,0,1,A,M Oliver
18,30/12/17,Bournemouth,Everton,2,1,H,1,0,H,L Probert
18,30/12/17,Chelsea,Stoke,5,0,H,3,0,H,K Friend
18,30/12/17,Huddersfield,Burnley,0,0,D,0,0,D,P Tierney
18,30/12/17,Liverpool,Leicester,2,1,H,0,1,A,N Swarbrick
18,30/12/17,Man United,Southampton,0,0,D,0,0,D,C Pawson
18,30/12/17,Newcastle,Brighton,0,0,D,0,0,D,A Taylor
18,30/12/17,Watford,Swansea,1,2,A,1,0,H,M Atkinson
18,31/12/17,Crystal Palace,Man City,0,0,D,0,0,D,J Moss
18,31/12/17,West Brom,Arsenal,1,1,D,0,0,D,M Dean
18,1/1/2018,Brighton,Bournemouth,2,2,D,1,1,D,M Oliver
18,1/1/2018,Burnley,Liverpool,1,2,A,0,0,D,R East
18,1/1/2018,Everton,Man United,0,2,A,0,0,D,A Marriner
18,1/1/2018,Leicester,Huddersfield,3,0,H,0,0,D,G Scott
18,1/1/2018,Stoke,Newcastle,0,1,A,0,0,D,C Kavanagh
18,2/1/2018,Man City,Watford,3,1,H,2,0,H,L Mason
18,2/1/2018,Southampton,Crystal Palace,1,2,A,1,0,H,S Attwell
18,2/1/2018,Swansea,Tottenham,0,2,A,0,1,A,R Madley
18,2/1/2018,West Ham,West Brom,2,1,H,0,1,A,M Jones
18,3/1/2018,Arsenal,Chelsea,2,2,D,0,0,D,A Taylor
18,4/1/2018,Tottenham,West Ham,1,1,D,0,0,D,M Dean
18,13/01/18,Chelsea,Leicester,0,0,D,0,0,D,M Jones
18,13/01/18,Crystal Palace,Burnley,1,0,H,1,0,H,M Oliver
18,13/01/18,Huddersfield,West Ham,1,4,A,1,1,D,J Moss
18,13/01/18,Newcastle,Swansea,1,1,D,0,0,D,G Scott
18,13/01/18,Tottenham,Everton,4,0,H,1,0,H,C Pawson
18,13/01/18,Watford,Southampton,2,2,D,0,2,A,R East
18,13/01/18,West Brom,Brighton,2,0,H,1,0,H,M Atkinson
18,14/01/18,Bournemouth,Arsenal,2,1,H,0,0,D,K Friend
18,14/01/18,Liverpool,Man City,4,3,H,1,1,D,A Marriner
18,15/01/18,Man United,Stoke,3,0,H,2,0,H,A Taylor
18,20/01/18,Arsenal,Crystal Palace,4,1,H,4,0,H,C Kavanagh
18,20/01/18,Brighton,Chelsea,0,4,A,0,2,A,J Moss
18,20/01/18,Burnley,Man United,0,1,A,0,0,D,M Dean
18,20/01/18,Everton,West Brom,1,1,D,0,1,A,S Attwell
18,20/01/18,Leicester,Watford,2,0,H,1,0,H,L Probert
18,20/01/18,Man City,Newcastle,3,1,H,1,0,H,P Tierney
18,20/01/18,Stoke,Huddersfield,2,0,H,0,0,D,M Oliver
18,20/01/18,West Ham,Bournemouth,1,1,D,0,0,D,M Atkinson
18,21/01/18,Southampton,Tottenham,1,1,D,1,1,D,K Friend
18,22/01/18,Swansea,Liverpool,1,0,H,1,0,H,N Swarbrick
18,30/01/18,Huddersfield,Liverpool,0,3,A,0,2,A,K Friend
